Municipality,PSGC,2021,2022
Agdangan,405601000,12851,12764
Alabat,405602000,15630,15936
Atimonan,405603000,63432,70698
Buenavista,405605000,30047,30160
Burdeos,405606000,26760,24644
Calauag,405607000,73139,71809
Candelaria,405608000,117434,137881
Catanauan,405610000,71073,72752
Dolores,405615000,28891,32514
General Luna,405616000,26494,24804
General Nakar,405617000,29705,34225
Guinayangan,405618000,45155,45155
Gumaca,405619000,73877,73877
Infanta,405620000,69079,69079
Jomalig,405621000,7417,7417
Lopez,405622000,95167,94657
Lucban,405623000,51475,51475
Macalelon,405625000,28188,28188
Mauban,405627000,63819,71081
Mulanay,405628000,53123,53123
Padre Burgos,405629000,22460,22460
Pagbilao,405630000,75023,78700
Panukulan,405631000,13546,16376
Patnanungan,405632000,14606,14606
Perez,405633000,12173,12767
Pitogo,405634000,23019,22798
Plaridel,405635000,10935,10129
Polillo,405636000,30582,31908
Quezon,405637000,15228,15228
Real,405638000,35979,35979
Sampaloc,405639000,13907,13907
San Andres,405640000,35780,35780
San Antonio,405641000,33467,35891
San Francisco,405642000,61473,62097
San Narciso,405644000,48461,48461
Sariaya,405645000,148980,148980
Tagkawayan,405646000,52851,54003
City of Tayabas,405647000,99779,112658
Tiaong,405648000,99712,106265
Unisan,405649000,26884,25448
