,Bagamanoc,Baras,Bato,Caramoran,Gigmoto,Pandan,Panganiban,San Andres,San Miguel,Viga,Virac 
Bagamanoc,1.0,7.067238522108429e-31,7.3061081562003e-23,0.2813381087724032,0.20083804314488932,1.0,1.0,5.459046292199597e-13,1.0,1.0,5.037170755506904e-35
Baras,7.067238522108429e-31,1.0,1.0,3.9418487150340395e-47,1.405750707052949e-17,1.8091218134133859e-25,1.863967397800783e-20,0.0018053812593490294,1.1655116090372633e-26,4.131074103533981e-20,1.0
Bato,7.3061081562003e-23,1.0,1.0,4.0636833457221666e-37,1.2467366320801683e-11,3.135406650940016e-18,5.199401586724062e-14,0.6857295974534224,3.0372575377514747e-19,1.008403412191189e-13,0.8375960629507834
Caramoran,0.2813381087724032,3.9418487150340395e-47,4.0636833457221666e-37,1.0,6.343723050948125e-07,0.005544143317041733,3.0762787581585196e-05,3.110999378708306e-24,0.015008109136613407,2.0071719691794635e-05,3.267258172541908e-52
Gigmoto,0.20083804314488932,1.405750707052949e-17,1.2467366320801683e-11,6.343723050948125e-07,1.0,1.0,1.0,7.381464974965127e-05,1.0,1.0,9.29157888545481e-21
Pandan,1.0,1.8091218134133859e-25,3.135406650940016e-18,0.005544143317041733,1.0,1.0,1.0,1.5984810609435815e-09,1.0,1.0,2.973246386452979e-29
Panganiban,1.0,1.863967397800783e-20,5.199401586724062e-14,3.0762787581585196e-05,1.0,1.0,1.0,1.7104416591787936e-06,1.0,1.0,7.203195750882999e-24
San Andres,5.459046292199597e-13,0.0018053812593490294,0.6857295974534224,3.110999378708306e-24,7.381464974965127e-05,1.5984810609435815e-09,1.7104416591787936e-06,1.0,2.857810089660837e-10,2.716324320873862e-06,4.6278287134153564e-05
San Miguel,1.0,1.1655116090372633e-26,3.0372575377514747e-19,0.015008109136613407,1.0,1.0,1.0,2.857810089660837e-10,1.0,1.0,1.5827032583492827e-30
Viga,1.0,4.131074103533981e-20,1.008403412191189e-13,2.0071719691794635e-05,1.0,1.0,1.0,2.716324320873862e-06,1.0,1.0,1.699350005061628e-23
Virac ,5.037170755506904e-35,1.0,0.8375960629507834,3.267258172541908e-52,9.29157888545481e-21,2.973246386452979e-29,7.203195750882999e-24,4.6278287134153564e-05,1.5827032583492827e-30,1.699350005061628e-23,1.0
