Date,NewCases,Deaths,Recoveries
01/12/2023,1,0.0,0.0
01/15/2023,1,0.0,0.0
01/27/2023,2,0.0,0.0
02/17/2023,2,0.0,0.0
03/04/2023,1,0.0,0.0
03/17/2023,1,0.0,0.0
03/22/2023,1,0.0,0.0
03/31/2023,1,0.0,0.0
04/02/2023,1,0.0,0.0
04/07/2023,1,0.0,0.0
04/20/2023,2,0.0,0.0
04/26/2023,1,0.0,0.0
04/28/2023,1,0.0,2.0
04/30/2023,4,0.0,0.0
05/01/2023,1,0.0,1.0
05/04/2023,3,0.0,0.0
05/07/2023,6,0.0,0.0
05/08/2023,1,0.0,1.0
05/10/2023,5,0.0,0.0
05/12/2023,10,0.0,0.0
05/14/2023,13,0.0,0.0
05/15/2023,1,0.0,0.0
05/17/2023,9,0.0,0.0
05/18/2023,1,0.0,0.0
05/19/2023,16,0.0,5.0
05/21/2023,23,0.0,10.0
05/22/2023,4,0.0,2.0
05/24/2023,13,0.0,0.0
05/25/2023,1,0.0,0.0
05/26/2023,11,0.0,10.0
05/27/2023,5,0.0,1.0
05/28/2023,10,0.0,15.0
05/29/2023,2,0.0,1.0
05/31/2023,15,0.0,0.0
06/03/2023,18,0.0,3.0
06/04/2023,8,0.0,12.0
06/05/2023,1,0.0,2.0
06/07/2023,4,0.0,2.0
06/09/2023,6,0.0,16.0
06/11/2023,4,0.0,8.0
06/12/2023,1,0.0,0.0
06/15/2023,1,0.0,1.0
06/16/2023,1,0.0,3.0
06/17/2023,3,0.0,0.0
06/28/2023,2,0.0,0.0
06/29/2023,1,0.0,0.0
07/05/2023,2,0.0,0.0
07/07/2023,1,0.0,2.0
07/08/2023,1,0.0,1.0
07/21/2023,1,0.0,0.0
08/04/2023,2,0.0,3.0
08/20/2023,1,0.0,0.0
08/26/2023,1,0.0,0.0
09/17/2023,1,0.0,0.0
09/23/2023,1,0.0,0.0
10/01/2023,1,0.0,1.0
10/08/2023,1,0.0,0.0
11/16/2023,1,0.0,0.0
11/23/2023,1,0.0,0.0
12/01/2023,1,0.0,1.0
12/03/2023,1,0.0,0.0
12/07/2023,4,0.0,1.0
12/09/2023,2,0.0,0.0
12/14/2023,4,0.0,0.0
12/17/2023,2,0.0,1.0
12/24/2023,3,0.0,0.0
12/30/2023,2,0.0,0.0
12/31/2023,2,0.0,0.0
2020-06-06,1,0.0,0.0
2020-06-22,1,0.0,0.0
2020-07-06,1,0.0,0.0
2020-07-08,1,0.0,0.0
2020-07-10,2,0.0,0.0
2020-07-12,2,0.0,0.0
2020-07-16,1,0.0,1.0
2020-07-19,3,0.0,0.0
2020-07-24,2,0.0,0.0
2020-07-25,1,0.0,0.0
2020-08-03,2,0.0,0.0
2020-08-04,2,0.0,0.0
2020-08-08,1,0.0,0.0
2020-08-09,4,0.0,0.0
2020-08-10,4,0.0,2.0
2020-08-14,3,0.0,1.0
2020-08-15,1,0.0,0.0
2020-08-16,3,0.0,7.0
2020-08-21,4,0.0,0.0
2020-08-22,3,0.0,0.0
2020-08-23,2,0.0,4.0
2020-08-25,1,0.0,2.0
2020-08-27,2,0.0,0.0
2020-08-28,3,0.0,0.0
2020-08-29,2,0.0,0.0
2020-08-30,3,0.0,8.0
2020-08-31,2,0.0,0.0
2020-09-04,1,0.0,0.0
2020-09-05,9,0.0,0.0
2020-09-08,3,0.0,0.0
2020-09-10,3,0.0,0.0
2020-09-12,4,0.0,0.0
2020-09-13,1,0.0,8.0
2020-09-15,3,0.0,0.0
2020-09-18,1,0.0,0.0
2020-09-20,1,0.0,10.0
2020-09-22,6,0.0,0.0
2020-09-23,1,0.0,0.0
2020-09-24,6,0.0,0.0
2020-09-27,2,0.0,15.0
2020-09-29,1,0.0,0.0
2020-10-04,4,0.0,10.0
2020-10-06,3,0.0,0.0
2020-10-08,1,0.0,0.0
2020-10-09,1,0.0,1.0
2020-10-11,1,0.0,8.0
2020-10-13,2,0.0,0.0
2020-10-16,2,0.0,1.0
2020-10-19,3,0.0,0.0
2020-10-20,3,0.0,1.0
2020-10-23,2,0.0,0.0
2020-10-25,1,0.0,8.0
2020-10-28,3,0.0,0.0
2020-11-01,1,0.0,7.0
2020-11-03,1,0.0,0.0
2020-11-07,1,0.0,0.0
2020-11-16,1,0.0,0.0
2020-11-18,1,0.0,0.0
2020-11-21,2,0.0,0.0
2020-11-24,2,0.0,0.0
2020-11-29,1,0.0,1.0
2020-12-06,1,0.0,3.0
2020-12-14,1,0.0,0.0
2020-12-15,2,0.0,0.0
2020-12-17,2,0.0,0.0
2020-12-19,1,0.0,0.0
2020-12-21,1,0.0,0.0
2020-12-22,4,0.0,0.0
2020-12-23,1,0.0,0.0
2020-12-24,1,0.0,0.0
2020-12-25,2,0.0,0.0
2021-01-01,2,0.0,0.0
2021-01-13,4,0.0,0.0
2021-01-14,10,0.0,0.0
2021-01-15,6,0.0,1.0
2021-01-17,2,0.0,0.0
2021-01-22,1,0.0,0.0
2021-01-24,4,0.0,12.0
2021-01-26,3,0.0,0.0
2021-01-28,2,1.0,0.0
2021-01-31,6,0.0,7.0
2021-02-01,2,0.0,0.0
2021-02-02,2,0.0,0.0
2021-02-05,1,0.0,0.0
2021-02-07,2,0.0,5.0
2021-02-09,1,0.0,0.0
2021-02-13,1,0.0,0.0
2021-02-14,6,0.0,11.0
2021-02-15,1,0.0,0.0
2021-02-16,1,0.0,0.0
2021-02-17,1,0.0,0.0
2021-02-18,2,0.0,0.0
2021-02-19,2,0.0,0.0
2021-02-20,2,0.0,0.0
2021-02-22,3,0.0,0.0
2021-02-25,1,0.0,0.0
2021-02-26,1,0.0,0.0
2021-02-27,4,0.0,0.0
2021-02-28,1,0.0,6.0
2021-03-01,4,0.0,0.0
2021-03-03,1,0.0,0.0
2021-03-04,9,0.0,0.0
2021-03-06,5,0.0,0.0
2021-03-08,5,0.0,0.0
2021-03-10,3,0.0,0.0
