,Date,Municipality,Latitude,Longitude,NewCases,Deaths,Recoveries,d_cases,n
0,2020-06-06,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,1
6,2020-07-16,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,0
66,2020-09-10,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,1
79,2020-09-20,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,0
89,2020-09-24,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,1
104,2020-10-11,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,0
118,2020-10-20,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,1
140,2020-11-08,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,0
180,2021-01-14,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,1
189,2021-01-24,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,0
197,2021-02-01,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,1
220,2021-02-21,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,0
292,2021-04-05,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,1
297,2021-04-08,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,2
303,2021-04-10,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,3
320,2021-04-19,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,2
326,2021-04-22,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,1
330,2021-04-23,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,0
381,2021-05-09,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,1
410,2021-05-17,SAN MIGUEL,13.6403293,124.3031092,1,0,1,0,1
426,2021-05-20,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,2
440,2021-05-24,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,3
445,2021-05-25,SAN MIGUEL,13.6403293,124.3031092,4,0,0,4,7
447,2021-05-26,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,6
466,2021-05-29,SAN MIGUEL,13.6403293,124.3031092,1,0,1,0,6
474,2021-05-31,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,7
476,2021-06-01,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,6
483,2021-06-02,SAN MIGUEL,13.6403293,124.3031092,0,0,4,-4,2
505,2021-06-09,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,1
512,2021-06-10,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,0
538,2021-06-17,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,1
564,2021-06-25,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,2
574,2021-06-26,SAN MIGUEL,13.6403293,124.3031092,1,0,1,0,2
579,2021-06-27,SAN MIGUEL,13.6403293,124.3031092,1,0,0,1,3
581,2021-06-28,SAN MIGUEL,13.6403293,124.3031092,2,0,0,2,5
609,2021-07-04,SAN MIGUEL,13.6403293,124.3031092,0,0,1,-1,4
