,CityMunRes,N,N_women,N_70,perc_women,perc_70,perc_70_cat
0,BAGAMANOC,212,103,19,48.58490566037736,8.962264150943396,<12
1,BARAS,173,80,20,46.24277456647399,11.560693641618498,<12
2,BATO,326,182,36,55.828220858895705,11.042944785276074,<12
3,CARAMORAN,358,195,30,54.46927374301676,8.379888268156424,<12
4,GIGMOTO,150,86,17,57.333333333333336,11.333333333333332,<12
5,PANDAN,235,120,25,51.06382978723404,10.638297872340425,<12
6,PANGANIBAN (PAYO),158,96,16,60.75949367088608,10.126582278481013,<12
7,SAN ANDRES (CALOLBON),543,291,50,53.591160220994475,9.208103130755065,<12
8,SAN MIGUEL,208,114,21,54.807692307692314,10.096153846153847,<12
9,VIGA,247,131,23,53.036437246963565,9.31174089068826,<12
10,VIRAC (CAPITAL),1445,815,119,56.40138408304498,8.235294117647058,<12
