,Year,CityMunRes,Sex,Age,AgeGroup,count,AgeGroupVac,AgeGroupHosp
0,2020,BAGAMANOC,MALE,22.0,20 to 24,1,15 to 44,20 to 24
1,2020,BAGAMANOC,MALE,23.0,20 to 24,1,15 to 44,20 to 24
2,2020,BAGAMANOC,MALE,24.0,20 to 24,1,15 to 44,20 to 24
3,2020,BAGAMANOC,MALE,26.0,25 to 29,1,15 to 44,25 to 29
4,2020,BAGAMANOC,MALE,47.0,45 to 49,1,45 to 59,45 to 49
5,2020,BARAS,FEMALE,18.0,15 to 19,1,15 to 44,15 to 19
6,2020,BARAS,FEMALE,22.0,20 to 24,1,15 to 44,20 to 24
7,2020,BARAS,FEMALE,29.0,25 to 29,1,15 to 44,25 to 29
8,2020,BARAS,FEMALE,39.0,35 to 39,1,15 to 44,35 to 39
9,2020,BARAS,MALE,14.0,10 to 14,1,0 to 14,12 to 14
10,2020,BARAS,MALE,15.0,15 to 19,1,15 to 44,15 to 19
11,2020,BARAS,MALE,27.0,25 to 29,2,15 to 44,25 to 29
12,2020,BARAS,MALE,28.0,25 to 29,1,15 to 44,25 to 29
13,2020,BARAS,MALE,37.0,35 to 39,1,15 to 44,35 to 39
14,2020,BARAS,MALE,43.0,40 to 44,1,15 to 44,40 to 44
15,2020,BATO,FEMALE,4.0,0 to 4,1,0 to 14,0 to 11
16,2020,BATO,FEMALE,10.0,10 to 14,1,0 to 14,0 to 11
17,2020,BATO,FEMALE,21.0,20 to 24,2,15 to 44,20 to 24
18,2020,BATO,FEMALE,50.0,50 to 54,1,45 to 59,50 to 54
19,2020,BATO,MALE,22.0,20 to 24,1,15 to 44,20 to 24
20,2020,BATO,MALE,24.0,20 to 24,1,15 to 44,20 to 24
21,2020,BATO,MALE,28.0,25 to 29,1,15 to 44,25 to 29
22,2020,BATO,MALE,32.0,30 to 34,2,15 to 44,30 to 34
23,2020,BATO,MALE,37.0,35 to 39,1,15 to 44,35 to 39
24,2020,CARAMORAN,FEMALE,29.0,25 to 29,1,15 to 44,25 to 29
25,2020,CARAMORAN,MALE,20.0,20 to 24,1,15 to 44,20 to 24
26,2020,CARAMORAN,MALE,21.0,20 to 24,2,15 to 44,20 to 24
27,2020,CARAMORAN,MALE,33.0,30 to 34,1,15 to 44,30 to 34
28,2020,GIGMOTO,FEMALE,19.0,15 to 19,1,15 to 44,15 to 19
29,2020,GIGMOTO,FEMALE,51.0,50 to 54,1,45 to 59,50 to 54
30,2020,GIGMOTO,FEMALE,59.0,55 to 59,1,45 to 59,55 to 59
31,2020,GIGMOTO,MALE,23.0,20 to 24,1,15 to 44,20 to 24
32,2020,GIGMOTO,MALE,53.0,50 to 54,1,45 to 59,50 to 54
33,2020,PANDAN,FEMALE,22.0,20 to 24,1,15 to 44,20 to 24
34,2020,PANDAN,FEMALE,26.0,25 to 29,1,15 to 44,25 to 29
35,2020,PANDAN,MALE,25.0,25 to 29,1,15 to 44,25 to 29
36,2020,PANDAN,MALE,33.0,30 to 34,1,15 to 44,30 to 34
37,2020,PANDAN,MALE,38.0,35 to 39,1,15 to 44,35 to 39
38,2020,PANDAN,MALE,49.0,45 to 49,1,45 to 59,45 to 49
39,2020,PANGANIBAN (PAYO),FEMALE,29.0,25 to 29,1,15 to 44,25 to 29
40,2020,PANGANIBAN (PAYO),FEMALE,32.0,30 to 34,1,15 to 44,30 to 34
41,2020,PANGANIBAN (PAYO),FEMALE,60.0,60 to 64,1,60 to 69,60 to 64
42,2020,PANGANIBAN (PAYO),MALE,7.0,5 to 9,1,0 to 14,0 to 11
43,2020,PANGANIBAN (PAYO),MALE,22.0,20 to 24,1,15 to 44,20 to 24
44,2020,PANGANIBAN (PAYO),MALE,25.0,25 to 29,1,15 to 44,25 to 29
45,2020,PANGANIBAN (PAYO),MALE,31.0,30 to 34,1,15 to 44,30 to 34
46,2020,PANGANIBAN (PAYO),MALE,37.0,35 to 39,1,15 to 44,35 to 39
47,2020,SAN ANDRES (CALOLBON),FEMALE,27.0,25 to 29,1,15 to 44,25 to 29
48,2020,SAN ANDRES (CALOLBON),FEMALE,36.0,35 to 39,1,15 to 44,35 to 39
49,2020,SAN ANDRES (CALOLBON),FEMALE,49.0,45 to 49,1,45 to 59,45 to 49
50,2020,SAN ANDRES (CALOLBON),FEMALE,61.0,60 to 64,1,60 to 69,60 to 64
51,2020,SAN ANDRES (CALOLBON),MALE,23.0,20 to 24,1,15 to 44,20 to 24
52,2020,SAN ANDRES (CALOLBON),MALE,24.0,20 to 24,1,15 to 44,20 to 24
53,2020,SAN ANDRES (CALOLBON),MALE,35.0,35 to 39,1,15 to 44,35 to 39
54,2020,SAN MIGUEL,FEMALE,24.0,20 to 24,1,15 to 44,20 to 24
55,2020,SAN MIGUEL,MALE,22.0,20 to 24,1,15 to 44,20 to 24
56,2020,SAN MIGUEL,MALE,29.0,25 to 29,1,15 to 44,25 to 29
57,2020,SAN MIGUEL,MALE,50.0,50 to 54,1,45 to 59,50 to 54
58,2020,VIGA,FEMALE,21.0,20 to 24,1,15 to 44,20 to 24
