DateRepConf,count
2021-10-23,63
2021-10-30,62
2021-10-11,55
2021-10-18,54
2021-09-09,53
2021-10-25,52
2021-10-01,51
2021-11-05,51
2021-10-28,50
2021-09-23,46
2021-11-08,46
2022-01-27,45
2021-10-15,44
2021-10-09,43
2021-11-07,43
2021-10-22,43
2021-10-06,43
2021-09-12,42
2021-10-10,39
2022-01-19,37
2021-11-01,37
2022-01-13,36
2021-11-12,34
2021-10-08,34
2021-09-24,34
2021-11-11,32
2021-09-30,32
2022-01-26,31
2021-10-31,31
2021-10-16,31
2021-07-08,30
2021-11-15,30
2021-10-13,29
2021-10-20,29
2021-11-18,27
2021-09-16,26
2022-01-17,26
2021-09-03,26
2021-11-06,25
2021-09-19,25
2022-08-04,25
2022-01-21,25
2021-06-24,24
2021-11-20,24
2022-01-23,24
05/21/2023,23
2021-08-09,23
2021-11-13,23
2021-10-05,23
2021-06-21,22
2021-06-07,22
2022-01-15,22
2021-10-17,22
2021-10-24,21
2021-09-06,21
2021-11-02,20
2021-07-01,20
2021-08-05,20
2021-07-05,20
2021-11-19,20
2021-07-22,20
2022-01-29,20
2021-07-12,19
2021-09-04,19
2022-08-03,19
06/03/2023,18
2021-08-19,18
2021-05-25,18
2022-01-24,17
2021-07-26,17
2021-07-29,17
2021-09-27,17
2021-09-26,16
05/19/2023,16
2021-07-10,16
2021-08-14,16
2022-01-30,16
2021-10-02,16
2022-01-22,16
2022-02-02,15
2021-08-22,15
2021-06-17,15
05/31/2023,15
2021-06-25,15
2021-06-28,15
2021-08-28,15
2022-02-04,15
2021-11-25,15
2021-09-13,15
2021-06-09,15
2021-05-26,15
2022-01-16,15
2021-08-30,14
2021-09-17,14
2021-11-14,14
2021-09-05,14
2022-01-28,13
2021-05-31,13
05/14/2023,13
05/24/2023,13
2021-08-06,13
2021-08-12,12
2021-07-09,12
2021-05-29,12
2021-05-13,12
2021-09-18,12
2021-05-09,11
2021-08-16,11
2021-05-20,11
2022-09-18,11
2022-02-06,11
05/26/2023,11
2021-06-19,11
2021-07-25,11
2022-01-14,11
2021-05-16,10
2021-06-26,10
2022-01-25,10
05/12/2023,10
2022-09-19,10
2022-07-21,10
2022-08-10,10
2021-01-14,10
2021-08-26,10
2021-05-11,10
05/28/2023,10
2022-01-18,10
2021-05-24,10
2022-08-05,9
2021-09-20,9
2021-07-31,9
2021-07-18,9
2022-09-23,9
2021-07-16,9
2021-07-15,9
2022-01-10,9
2022-02-09,9
2021-03-04,9
2022-08-17,9
2021-06-03,9
2020-09-05,9
05/17/2023,9
2021-05-27,8
2021-06-04,8
06/04/2023,8
2022-02-16,8
2022-07-15,8
2021-05-06,8
2021-08-27,8
2021-11-28,8
2022-07-23,8
2021-11-21,8
2022-07-09,8
2022-09-10,8
2021-07-04,7
2022-10-14,7
2021-08-31,7
2022-01-07,7
2021-06-15,7
2021-06-13,7
2021-08-29,7
2022-07-30,7
2022-07-22,7
2021-11-26,7
2022-01-06,6
2022-07-27,6
2022-07-31,6
2021-01-15,6
05/07/2023,6
2022-12-21,6
2021-01-31,6
2022-07-20,6
2021-02-14,6
2022-07-16,6
2022-12-29,6
2022-01-12,6
2021-08-07,6
2021-12-08,6
2021-07-02,6
2021-05-28,6
2021-05-15,6
2020-09-24,6
2022-10-01,6
2020-09-22,6
2022-09-30,6
2021-05-21,6
2021-10-21,6
2021-05-02,6
2022-10-07,6
06/09/2023,6
2022-01-20,6
2021-04-29,6
2021-08-13,5
2021-08-20,5
2022-07-28,5
2022-02-12,5
2021-09-11,5
2022-08-06,5
2021-08-23,5
2022-02-07,5
2021-05-17,5
2022-08-11,5
2021-04-01,5
2022-07-17,5
2022-07-06,5
2022-11-27,5
2022-01-09,5
05/10/2023,5
2022-10-09,5
2022-10-08,5
2022-10-06,5
2021-03-06,5
2021-03-08,5
2022-09-25,5
05/27/2023,5
2022-02-01,5
2022-09-22,5
2021-04-08,5
2021-10-12,5
2022-09-02,5
2021-04-19,5
2021-04-27,5
2022-08-21,5
2021-05-04,5
2022-08-20,5
2021-06-27,5
2021-07-03,5
2021-04-03,5
2022-07-13,4
2021-09-25,4
2022-02-20,4
2021-11-22,4
2022-06-30,4
2022-02-25,4
2021-09-01,4
2021-04-25,4
2021-03-29,4
2022-09-24,4
2021-03-01,4
2021-02-27,4
2022-11-04,4
2021-01-24,4
2022-11-20,4
2021-01-13,4
04/30/2023,4
2020-10-04,4
05/22/2023,4
2020-09-12,4
06/07/2023,4
2020-08-21,4
06/11/2023,4
2020-08-10,4
2020-08-09,4
12/07/2023,4
12/14/2023,4
2022-09-04,4
2020-12-22,4
2022-08-25,4
2022-08-14,4
2022-08-12,4
2021-08-01,4
2021-07-11,4
2022-08-07,4
05/04/2023,3
2022-01-08,3
2020-10-20,3
2020-10-19,3
2020-08-28,3
2022-07-02,3
2020-10-06,3
2020-10-28,3
2022-07-08,3
2022-07-14,3
2020-09-15,3
2021-07-19,3
2020-09-10,3
2020-09-08,3
2020-08-30,3
2021-07-23,3
2022-12-11,3
2020-08-22,3
2022-03-04,3
2022-06-08,3
2022-02-18,3
12/24/2023,3
2022-02-13,3
2021-08-15,3
2020-07-19,3
2022-06-19,3
2022-06-22,3
06/17/2023,3
2021-08-02,3
2020-08-14,3
2021-07-30,3
2020-08-16,3
2021-07-24,3
2023-01-07,3
2022-08-13,3
2022-09-29,3
2021-04-04,3
2021-03-22,3
2022-10-27,3
2021-03-18,3
2021-11-03,3
2022-07-19,3
2022-11-13,3
2022-11-16,3
2021-01-26,3
2021-10-19,3
2022-11-18,3
2022-07-18,3
2021-06-12,3
2021-05-07,3
2022-10-17,3
2022-10-12,3
2022-11-30,3
2021-02-22,3
2022-09-17,3
2021-04-15,3
2021-08-21,3
2021-05-18,3
2021-03-10,3
2022-09-01,3
2022-12-03,3
07/05/2023,2
06/28/2023,2
08/04/2023,2
2022-12-04,2
2022-07-24,2
2022-06-18,2
2022-06-17,2
12/17/2023,2
2022-09-07,2
2022-08-22,2
12/30/2023,2
2022-03-13,2
12/09/2023,2
2022-10-15,2
2022-08-19,2
2022-10-02,2
2022-12-14,2
2022-12-18,2
2022-12-23,2
2022-12-01,2
01/27/2023,2
2022-08-28,2
2022-07-10,2
04/20/2023,2
2022-07-07,2
2022-03-02,2
2022-11-23,2
2022-08-18,2
2022-07-25,2
2022-10-23,2
05/29/2023,2
2022-12-07,2
2022-10-13,2
02/17/2023,2
12/31/2023,2
2021-01-01,2
2021-10-26,2
2021-03-13,2
2020-11-24,2
2021-09-29,2
2021-10-03,2
2021-10-07,2
2020-08-31,2
2021-10-29,2
2021-12-31,2
2020-08-29,2
2020-08-27,2
2020-08-23,2
2021-02-20,2
2021-12-12,2
2021-12-15,2
2021-09-14,2
2020-11-21,2
2021-09-07,2
2021-03-19,2
2021-08-18,2
2021-08-17,2
