,Province,Capital,Latitude,Longitude
0,Abra,Bangued,17.5965664,120.6179987
1,Agusan del Norte,Cabadbaran,9.1232854,125.5322317
2,Agusan del Sur,Prosperidad,8.6023961,125.9116338
3,Aklan,Kalibo,11.7088966,122.3640225
4,Albay,Legazpi,13.1388596,123.7343104
5,Antique,San Jose de Buenavista,10.7433533,121.9438784
6,Apayao,Kabugao,18.022963,121.1841242
7,Aurora,Baler,15.759086,121.5627247
8,Basilan,Lamitan,6.6579664,122.1371052
9,Bataan,Balanga,14.6795669,120.5409693
10,Batanes,Basco,20.4490442,121.9683455
11,Batangas,Batangas City,13.7558718,121.0584755
12,Benguet,La Trinidad,16.4617181,120.5885189
13,Biliran,Naval,11.56179,124.3965267
14,Bohol,Tagbilaran,9.6402611,123.8559809
15,Bukidnon,Malaybalay,8.1550421,125.1305726
16,Bulacan,Malolos,14.843759,120.8113694
17,Cagayan,Tuguegarao,17.6118858,121.7300377
18,Camarines Norte,Daet,14.112333,122.9556967
19,Camarines Sur,Pili,13.5561041,123.2741192
20,Camiguin,Mambajao,9.2456944,124.7269435
21,Capiz,Roxas,11.5895171,122.7500577
22,Catanduanes,Virac,13.5803594,124.2312028
23,Cavite,Imus,14.4290116,120.9365911
24,Cebu,Cebu City,10.2935639,123.9019209
25,Cotabato,Kidapawan,7.0095784,125.0905037
26,Davao de Oro,Nabunturan,7.6021804,125.9687792
27,Davao del Norte,Tagum,7.4470784,125.8094853
28,Davao del Sur,Digos,6.7440957,125.3555319
29,Davao Occidental,Malita,6.4143745,125.6109051
30,Davao Oriental,Mati,6.9514062,126.2167274
31,Dinagat Islands,San Jose,15.7917408,120.989145
32,Eastern Samar,Borongan,11.6085788,125.435328
33,Guimaras,Jordan,10.6611675,122.5909592
34,Ifugao,Lagawe,16.8013508,121.1242889
35,Ilocos Norte,Laoag,18.1973235,120.5935433
36,Ilocos Sur,Vigan,17.5755487,120.3872632
37,Iloilo,Iloilo City,10.6926985,122.5736783
38,Isabela,Ilagan,17.1486341,121.8886466
39,Kalinga,Tabuk,17.4136195,121.4440137
40,La Union,San Fernando,15.0283014,120.6938038
41,Laguna,Santa Cruz,14.2818099,121.414977
42,Lanao del Norte,Tubod,8.0486582,123.7961839
43,Lanao del Sur,Marawi,8.0047262,124.2854351
44,Leyte,Tacloban,11.2436208,125.0079543
45,Maguindanao del Norte,Datu Odin Sinsuat,7.0235591,124.3157123
46,Maguindanao del Sur,Buluan,6.7166195,124.7865943
47,Marinduque,Boac,13.4469207,121.8416045
48,Masbate,Masbate City,12.3710899,123.6239223
49,Misamis Occidental,Oroquieta,8.4858864,123.8077767
50,Misamis Oriental,Cagayan de Oro,8.4756417,124.6421532
51,Mountain Province,Bontoc,17.0891276,120.977394
52,Negros Occidental,Bacolod,10.6762836,122.9513786
53,Negros Oriental,Dumaguete,9.3054777,123.3080446
54,Northern Samar,Catarman,12.4996559,124.6365924
55,Nueva Ecija,Palayan,15.5408666,121.0842988
56,Nueva Vizcaya,Bayombong,16.4829252,121.1505219
57,Occidental Mindoro,Mamburao,13.2248292,120.5960338
58,Oriental Mindoro,Calapan,13.4145513,121.179543
59,Palawan,Puerto Princesa,9.7398561,118.7438187
60,Pampanga,San Fernando,15.0283014,120.6938038
61,Pangasinan,Lingayen,16.0206363,120.2307093
62,Quezon,Lucena,13.9358509,121.6130954
63,Quirino,Cabarroguis,16.5096214,121.527583
64,Rizal,Antipolo,14.5871972,121.1759246
65,Romblon,Romblon,12.5774153,122.2690875
66,Samar,Catbalogan,11.7753199,124.8829549
67,Sarangani,Alabel,6.1027828,125.2920305
68,Siquijor,Siquijor,9.2155864,123.5138212
69,Sorsogon,Sorsogon City,12.9707848,124.0052543
70,South Cotabato,Koronadal,6.5004067,124.8435427
71,Southern Leyte,Maasin,10.1325061,124.8385147
72,Sultan Kudarat,Isulan,6.6340869,124.5971379
73,Sulu,Jolo,6.0536561,121.0002644
74,Surigao del Norte,Surigao City,9.7905028,125.4935697
75,Surigao del Sur,Tandag,9.0799833,126.1974606
76,Tarlac,Tarlac City,15.4861218,120.5893473
77,TawiTawi,Bongao,5.0289741,119.7713119
78,Zambales,Iba,15.3264614,119.9801043
79,Zamboanga del Norte,Dipolog,8.5864062,123.3449371
80,Zamboanga del Sur,Pagadian,7.8249717,123.4365816
81,Zamboanga Sibugay,Ipil,7.7825104,122.5869172
82,Metro Manila,Manila,14.5904492,120.9803621
