,Municipality/City,Province,Latitude,Longitude
0,Boliney,Abra,17.3790583,120.8198364
1,Bucay,Abra,17.5384336,120.7187526
2,Bucloc,Abra,17.4409401,120.8572514
3,Daguioman,Abra,17.458889,120.9262943
4,Danglas,Abra,17.6933042,120.6644745
5,Dolores,Abra,17.6490473,120.7086252
6,La Paz,Abra,17.6707795,120.6838341
7,Lacub,Abra,17.6643781,120.9456603
8,Lagangilang,Abra,17.6126919,120.7336564
9,Lagayan,Abra,17.720616,120.7059814
10,Langiden,Abra,17.5761072,120.563939
11,Licuan-Baay,Abra,17.6090816,120.9054377
12,Luba,Abra,17.3173222,120.6946459
13,Malibcong,Abra,17.563315,120.9890692
14,Manabo,Abra,17.4325474,120.7041038
15,Peñarrubia,Abra,17.5638344,120.652673
16,Pidigan,Abra,17.570304,120.5899441
17,Pilar,Abra,17.4152463,120.5954528
18,Sallapadan,Abra,17.4551443,120.7599337
19,San Isidro,Abra,17.4656098,120.6017435
20,San Juan,Abra,17.682288,120.7306199
21,San Quintin,Abra,17.5427457,120.5203211
22,Tayum,Abra,17.6180712,120.6535488
23,Tineg,Abra,17.7829065,120.943593
24,Tubo,Abra,17.2582154,120.7248438
25,Villaviciosa,Abra,17.4378456,120.6256845
26,Buenavista,Agusan del Norte,8.9744864,125.4090875
27,Butuan,Agusan del Norte,8.948,125.543
28,Cabadbaran,Agusan del Norte,9.1232854,125.5322317
29,Carmen,Agusan del Norte,8.9902238,125.2957173
30,Jabonga,Agusan del Norte,9.3425441,125.5163749
31,Kitcharao,Agusan del Norte,9.4554207,125.5755314
32,Las Nieves,Agusan del Norte,8.7359578,125.6015136
33,Magallanes,Agusan del Norte,9.0237073,125.5185124
34,Nasipit,Agusan del Norte,8.9884377,125.3408268
35,Remedios T. Romualdez,Agusan del Norte,9.0537567,125.5863115
36,Santiago,Agusan del Norte,9.2654938,125.5602995
37,Tubay,Agusan del Norte,9.1650676,125.5226912
38,Bayugan,Agusan del Sur,8.7145642,125.7481892
39,Bunawan,Agusan del Sur,8.1787968,125.9942065
40,Esperanza,Agusan del Sur,8.6788385,125.646773
41,La Paz,Agusan del Sur,8.2795131,125.8066975
42,Loreto,Agusan del Sur,8.1871373,125.8531529
43,Prosperidad,Agusan del Sur,8.6023961,125.9116338
44,Rosario,Agusan del Sur,8.3814612,126.0018294
45,San Francisco,Agusan del Sur,8.5050281,125.9771179
46,San Luis,Agusan del Sur,8.4987859,125.7373865
47,Santa Josefa,Agusan del Sur,7.9844761,126.0288095
48,Sibagat,Agusan del Sur,8.8219764,125.6938266
49,Talacogon,Agusan del Sur,8.4486711,125.7861565
50,Trento,Agusan del Sur,8.043508,126.0633157
51,Veruela,Agusan del Sur,8.0710344,125.9540733
52,Altavas,Aklan,11.5375818,122.4871569
53,Balete,Aklan,11.5555978,122.3800007
54,Banga,Aklan,11.6393771,122.332585
55,Batan,Aklan,11.5869107,122.4962482
56,Buruanga,Aklan,11.8444711,121.8882356
57,Ibajay,Aklan,11.8211075,122.1618399
58,Kalibo,Aklan,11.7088966,122.3640225
59,Lezo,Aklan,11.6671058,122.3286614
60,Libacao,Aklan,11.480692,122.3024183
61,Madalag,Aklan,11.5265494,122.306494
62,Makato,Aklan,11.7116342,122.2924728
63,Malay,Aklan,11.9000941,121.9099
64,Malinao,Aklan,11.6437882,122.3077295
65,Nabas,Aklan,11.828728,122.0924043
66,New Washington,Aklan,11.6508856,122.4320224
67,Numancia,Aklan,11.704435,122.3288949
68,Tangalan,Aklan,11.7770629,122.2601806
69,Bacacay,Albay,13.2926072,123.7912494
70,Camalig,Albay,13.1815738,123.6552668
71,Daraga,Albay,13.1479697,123.7120775
72,Guinobatan,Albay,13.1904597,123.5999458
73,Jovellar,Albay,13.0693487,123.6002707
74,Legazpi,Albay,13.1388596,123.7343104
75,Libon,Albay,13.2988701,123.4360839
76,Ligao,Albay,13.2402789,123.5365227
77,Malilipot,Albay,13.3190483,123.7392658
78,Malinao,Albay,13.3974574,123.7049776
79,Manito,Albay,13.1242602,123.8677604
80,Oas,Albay,13.2570425,123.5001669
81,Pio Duran,Albay,13.0296985,123.4431423
82,Polangui,Albay,13.293769,123.4843893
83,Rapu-Rapu,Albay,13.1856583,124.1267772
84,Santo Domingo,Albay,13.2371495,123.7774835
85,Tabaco,Albay,13.3593077,123.7302007
86,Tiwi,Albay,13.4569196,123.6796912
87,Anini-y,Antique,10.4315482,121.9249048
88,Barbaza,Antique,11.1958667,122.0389309
89,Belison,Antique,10.8374618,121.9621456
90,Bugasong,Antique,11.0441473,122.0646896
91,Caluya,Antique,11.9321723,121.5477161
92,Culasi,Antique,11.4257994,122.0561023
93,Hamtic,Antique,10.7003591,121.9808152
94,Laua-an,Antique,11.1429506,122.0416027
95,Libertad,Antique,11.769388,121.9188237
96,Pandan,Antique,11.7198989,122.0945769
97,Patnongon,Antique,10.9133046,121.9950021
98,San Jose de Buenavista,Antique,10.7433533,121.9438784
99,San Remigio,Antique,10.831508,122.0887035
100,Sebaste,Antique,11.5896899,122.0958588
101,Sibalom,Antique,10.7889049,122.017534
102,Tibiao,Antique,11.2886284,122.0342615
103,Tobias Fornier,Antique,10.5162619,121.945127
104,Valderrama,Antique,11.0018524,122.129408
105,Calanasan,Apayao,18.2551106,121.0434944
106,Conner,Apayao,17.7963858,121.3224105
107,Flora,Apayao,18.2148452,121.4191186
108,Kabugao,Apayao,18.022963,121.1841242
109,Luna,Apayao,18.3312102,121.3729788
110,Pudtol,Apayao,18.2380574,121.3731587
111,Santa Marcela,Apayao,18.2875298,121.4359707
112,Baler,Aurora,15.759086,121.5627247
113,Casiguran,Aurora,16.2770406,122.1233258
114,Dilasag,Aurora,16.393824,122.2114756
115,Dinalungan,Aurora,16.1403381,121.9575186
116,Dingalan,Aurora,15.3894081,121.3927168
117,Dipaculao,Aurora,15.8483803,121.5367634
118,Maria Aurora,Aurora,15.7982599,121.4723121
119,San Luis,Aurora,15.7191175,121.5178817
